Track name,Artist name,Album,Playlist name,Type,ISRC
"Pompeii","Bastille","All This Bad Blood","2012-2016 Summer Vibes","Playlist","GBAAA1200795"
"Little Hollywood","Alle Farben","Little Hollywood","2012-2016 Summer Vibes","Playlist","DEE861700489"
"Wake Me Up","Avicii","True","2012-2016 Summer Vibes","Playlist","SEUM71301326"
"I Took A Pill In Ibiza - Seeb Remix","Mike Posner","At Night, Alone.","2012-2016 Summer Vibes","Playlist","USUM71509342"
"Jerk It Out","Caesars","Jerk It Out","2012-2016 Summer Vibes","Playlist","SEVBU0200002"
"Daylight","Matt and Kim","Grand","2012-2016 Summer Vibes","Playlist","US4HB0915501"
"Love Me Again","John Newman","Tribute","2012-2016 Summer Vibes","Playlist","GBUM71301538"
"On Top Of The World","Imagine Dragons","Night Visions","2012-2016 Summer Vibes","Playlist","USUM71201073"
"Hymn for the Weekend - Seeb Remix","Coldplay","A Head Full of Dreams Tour Edition","2012-2016 Summer Vibes","Playlist","GBAYE1600763"
"This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016)","David Guetta","This One's for You (feat. Zara Larsson) [Official Song UEFA EURO 2016]","2012-2016 Summer Vibes","Playlist","GB28K1500141"
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)","Rudimental","These Days (feat. Jess Glynne, Macklemore & Dan Caplen)","2012-2016 Summer Vibes","Playlist","GBAHS1701239"
"How Deep Is Your Love","Calvin Harris","How Deep Is Your Love","2012-2016 Summer Vibes","Playlist","GBARL1500704"
"My Way","Calvin Harris","My Way","2012-2016 Summer Vibes","Playlist","GBARL1601358"
"Summer","Calvin Harris","Motion","2012-2016 Summer Vibes","Playlist","GBARL1400296"
"Giant (with Rag'n'Bone Man)","Calvin Harris","Giant (with Rag'n'Bone Man)","2012-2016 Summer Vibes","Playlist","GBARL1801703"
"Let Me Love You","DJ Snake","Encore","2012-2016 Summer Vibes","Playlist","QMZSY1600015"
"Scared to Be Lonely","Martin Garrix","Scared to Be Lonely","2012-2016 Summer Vibes","Playlist","NLM5S1600025"
"Bad Ideas","Alle Farben","Music Is My Best Friend","2012-2016 Summer Vibes","Playlist","DEE861600181"
"Stole the Show","Kygo","Cloud Nine","2012-2016 Summer Vibes","Playlist","SEBGA1500071"
"Don't Wanna Know","Maroon 5","Red Pill Blues (Deluxe)","2012-2016 Summer Vibes","Playlist","USUM71609975"
"We'll Be Coming Back (feat. Example)","Calvin Harris","18 Months","2012-2016 Summer Vibes","Playlist","GBARL1200642"
"No Sleep (feat. Bonn)","Martin Garrix","No Sleep (feat. Bonn)","2012-2016 Summer Vibes","Playlist","NLM5S1900471"
"Lean On","Major Lazer","Peace Is The Mission","2012-2016 Summer Vibes","Playlist","QMUY41500008"
"Levels - Radio Edit","Avicii","True","2012-2016 Summer Vibes","Playlist","SEUM71100962"
"Under Control (feat. Hurts)","Calvin Harris","Motion","2012-2016 Summer Vibes","Playlist","GBARL1301271"
"If I Lose Myself - Alesso vs OneRepublic","OneRepublic","Native","2012-2016 Summer Vibes","Playlist","USUM71303190"
"Heroes (we could be)","Alesso","Forever (Deluxe)","2012-2016 Summer Vibes","Playlist","USUM71411636"
"This Summer - Maroon 5 vs. Alesso","Maroon 5","This Summer (Maroon 5 vs. Alesso)","2012-2016 Summer Vibes","Playlist","USUM71509392"
"GDFR (feat. Sage the Gemini & Lookas)","Flo Rida","My House","2012-2016 Summer Vibes","Playlist","USAT21404117"
"Shots & Squats","Vigiland","Shots & Squats","2012-2016 Summer Vibes","Playlist","SEUM71500687"
"Freaks - Radio Edit","Timmy Trumpet","Freaks (Radio Edit)","2012-2016 Summer Vibes","Playlist","AUNV01400450"
"Get Up (Rattle) [feat. Far East Movement] - Vocal Edit","Bingo Players","Get Up (Rattle) [feat. Far East Movement]","2012-2016 Summer Vibes","Playlist","NLC281211858"
"Bad (feat. Vassy) - Radio Edit","David Guetta","Listen","2012-2016 Summer Vibes","Playlist","GB28K1400007"
"Addicted To You - David Guetta Remix","Avicii","Addicted To You (Remixes)","2012-2016 Summer Vibes","Playlist","CH3131340334"
"Firestone","Kygo","Cloud Nine","2012-2016 Summer Vibes","Playlist","SEBGA1400887"
"Don't You Worry Child - Radio Edit","Swedish House Mafia","Until Now","2012-2016 Summer Vibes","Playlist","GBAAA1200728"
"We Found Love","Rihanna","Talk That Talk","2012-2016 Summer Vibes","Playlist","USUM71115507"
"Payphone","Maroon 5","Overexposed Track By Track","2012-2016 Summer Vibes","Playlist","USUM71203347"
"Burn","Ellie Goulding","Halcyon Days","2012-2016 Summer Vibes","Playlist","GBUM71303482"
